test_node_id,test_file,failure_signature,affected_component,migration_slice_origin,failure_class,candidate_caused,pre_existing,environmental,stale_test_expectation,architecture_contract,required_action,root_cause_group
test_build_candidates_phase2_applies_market_context_fallbacks,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_build_candidates_phase2_derives_liquidity_from_book_when_missing,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_build_candidates_phase2_soft_degrades_noncritical_execution_context,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_build_candidates_phase2_soft_degrades_quality_only_failure,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_build_candidates_phase2_soft_degrades_noncritical_execution_not_ready,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_build_candidates_phase2_soft_not_ready_reason_survives_low_execution_score,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_build_candidates_phase2_soft_not_ready_fallbacks_on_moderate_liquidity_without_reason,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_build_candidates_phase2_recomputes_zero_placeholder_final_score,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_run_engine_phase2_forced_fallback_execution_when_no_enter,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_run_engine_phase2_strict_mode_disables_forced_fallback,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_soft_reject_weak_signal_candidates_are_queue_capped,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_soft_reject_weak_signal_defaults_to_soft_penalty_not_hard_cap,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_build_candidates_phase2_relaxes_no_signal_and_latency,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_run_engine_phase2_does_not_force_fallback_in_live_by_default,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_run_engine_phase2_respects_queue_only_cap_even_with_enter_score,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_build_candidates_phase2_strict_mode_keeps_clean_real_candidate,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_build_candidates_phase2_injects_profile_rejection_setup_fields,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_build_candidates_phase2_profile_rejection_not_detected_without_identity,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_build_candidates_phase2_selects_profile_rejection_playbook_in_range,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_build_candidates_phase2_selects_breakout_playbook_in_trend,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
UNCLASSIFIED_FAILURES=0
