scenario,stage,expected_outcome,actual_outcome,affected_modules,fail_open_fail_closed,event_counts_by_stage,identity_authority_transitions,reason_codes,final_ui_order_reconciliation_state,test_evidence_artifact,semantic_hash_run1,semantic_hash_run2,deterministic_rerun_match,verdict,limitation
disconnect_reconnect,broker_feed_connection,fail_closed_or_explainable_outcome,NOT_PROVEN,broker_feed_connection,NOT_PROVEN,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,end_to_end_actual_pipeline_map.md,b1e61187fbfe86a436b84c277cc2134f6de447a8d6334115d4d65b2520ddfe59,b1e61187fbfe86a436b84c277cc2134f6de447a8d6334115d4d65b2520ddfe59,True,NOT_PROVEN,not exercised without websocket fixture
partial_resubscription_failure,broker_feed_connection,fail_closed_or_explainable_outcome,NOT_PROVEN,broker_feed_connection,NOT_PROVEN,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,end_to_end_actual_pipeline_map.md,dbf7fc78f09d4c459164b3fb47d2bb344a325aa1b9b52ad3122f7b8184dc1425,dbf7fc78f09d4c459164b3fb47d2bb344a325aa1b9b52ad3122f7b8184dc1425,True,NOT_PROVEN,not exercised without websocket fixture
missing_option_quote,risk_liquidity_executable_truth,fail_closed_or_explainable_outcome,PARTIALLY_PROVEN,risk_liquidity_executable_truth,fail_closed_or_bounded_by_existing_tests,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,end_to_end_actual_pipeline_map.md,ff5336325110ba33bd1b6b1132a6827508b7c704e738492a0c059517221646a1,ff5336325110ba33bd1b6b1132a6827508b7c704e738492a0c059517221646a1,True,PARTIALLY_PROVEN,executable truth reasons identify missing/fallback quote blockers
stale_option_quote,risk_liquidity_executable_truth,fail_closed_or_explainable_outcome,PARTIALLY_PROVEN,risk_liquidity_executable_truth,fail_closed_or_bounded_by_existing_tests,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,end_to_end_actual_pipeline_map.md,0767b22498b3dfacceb9d884376d2ba14b2db93dfb0e8bc3e66cb0ced48b7cb1,0767b22498b3dfacceb9d884376d2ba14b2db93dfb0e8bc3e66cb0ced48b7cb1,True,PARTIALLY_PROVEN,feed truth tests cover stale executable rejection
crossed_abnormal_spread,risk_liquidity_executable_truth,fail_closed_or_explainable_outcome,NOT_PROVEN,risk_liquidity_executable_truth,NOT_PROVEN,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,end_to_end_actual_pipeline_map.md,795ebb86c2a4b3fd3d6276a020bf4986fd4f715f8f2c197f0455a2d2b9c31151,795ebb86c2a4b3fd3d6276a020bf4986fd4f715f8f2c197f0455a2d2b9c31151,True,NOT_PROVEN,requires option spread fixture
incomplete_option_chain,quote_depth_candle_option_chain,fail_closed_or_explainable_outcome,NOT_PROVEN,quote_depth_candle_option_chain,NOT_PROVEN,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,end_to_end_actual_pipeline_map.md,d1b660582da60fa07bf1c658f377d6086ebbc8eaa1873ed86546e24055797f20,d1b660582da60fa07bf1c658f377d6086ebbc8eaa1873ed86546e24055797f20,True,NOT_PROVEN,requires option-chain fixture
incomplete_candle,quote_depth_candle_option_chain,fail_closed_or_explainable_outcome,NOT_PROVEN,quote_depth_candle_option_chain,NOT_PROVEN,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,end_to_end_actual_pipeline_map.md,df7465ba2be78f9ab458eab7a372e137ce1aa254ad6e3cf1106cb624e160836f,df7465ba2be78f9ab458eab7a372e137ce1aa254ad6e3cf1106cb624e160836f,True,NOT_PROVEN,requires candle aggregator fixture
strategy_exception,strategy_registry_execution,fail_closed_or_explainable_outcome,PARTIALLY_PROVEN,strategies/strategy_registry.py;strategies/movement/__init__.py,fail_closed_or_bounded_by_existing_tests,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,end_to_end_actual_pipeline_map.md,4157609872c00bb9deccf3a442294290244c1fd6f1a5470a0e27c99062a191cf,4157609872c00bb9deccf3a442294290244c1fd6f1a5470a0e27c99062a191cf,True,PARTIALLY_PROVEN,candidate pool catches generator exceptions and records warnings
tradebuilder_exception,tradebuilder,fail_closed_or_explainable_outcome,NOT_PROVEN,strategies/trade_builder.py,NOT_PROVEN,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,tradebuilder_phase1_phase2_audit.md,881a256fe6312d1a6723adf81fb7d3c627956e6ce7e015cbd0b22e533f8bc358,881a256fe6312d1a6723adf81fb7d3c627956e6ce7e015cbd0b22e533f8bc358,True,NOT_PROVEN,not invoked in bounded v2
phase2_exception,phase2_gates,fail_closed_or_explainable_outcome,PARTIALLY_PROVEN,core/_engine_phase2_adapter_base.py;core/engine_phase2_adapter.py,fail_closed_or_bounded_by_existing_tests,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,tradebuilder_phase1_phase2_audit.md,cc37aeac2eb82ae97df9cab444e14ee9caf0967f1c51b33dd3619a615195c99a,cc37aeac2eb82ae97df9cab444e14ee9caf0967f1c51b33dd3619a615195c99a,True,PARTIALLY_PROVEN,phase2 module has exception/drop counters statically identified
duplicate_candidate_same_strategy,candidate_pool,fail_closed_or_explainable_outcome,PARTIALLY_PROVEN,core/candidate_pool.py;core/candidate_pool_orchestrator.py,fail_closed_or_bounded_by_existing_tests,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,end_to_end_actual_pipeline_map.md,1cc700d9ecb94ae15bdfad924bb058e373a8ff57e85c283cd731a9790e0e0250,1cc700d9ecb94ae15bdfad924bb058e373a8ff57e85c283cd731a9790e0e0250,True,PARTIALLY_PROVEN,candidate_pool dedupe key is static/probe-audited
duplicate_economic_trade_multiple_strategies,candidate_pool,fail_closed_or_explainable_outcome,NOT_PROVEN,core/candidate_pool.py;core/candidate_pool_orchestrator.py,NOT_PROVEN,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,end_to_end_actual_pipeline_map.md,bacacc6c32aa0440abe797ebf93ecbe346ff500bf900026c9d549fa615cfbbe5,bacacc6c32aa0440abe797ebf93ecbe346ff500bf900026c9d549fa615cfbbe5,True,NOT_PROVEN,economic dedupe across strategies not replayed
malformed_candidate_schema,normalization_classification_policy,fail_closed_or_explainable_outcome,PARTIALLY_PROVEN,normalization_classification_policy,fail_closed_or_bounded_by_existing_tests,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,end_to_end_actual_pipeline_map.md,80605bd57c64d9b45ca2fe7bf9fa11b34b2defc7ca7f038a7b901e836cd44ade,80605bd57c64d9b45ca2fe7bf9fa11b34b2defc7ca7f038a7b901e836cd44ade,True,PARTIALLY_PROVEN,StrategyCandidate constructor enforces schema offline
risk_engine_rejection,risk_liquidity_executable_truth,fail_closed_or_explainable_outcome,PARTIALLY_PROVEN,risk_liquidity_executable_truth,fail_closed_or_bounded_by_existing_tests,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,end_to_end_actual_pipeline_map.md,00cbf66bd69b2c06ede360cf17aa16a7568ee4d80ba2f8d5522345187965c066,00cbf66bd69b2c06ede360cf17aa16a7568ee4d80ba2f8d5522345187965c066,True,PARTIALLY_PROVEN,approval/risk chokepoints inspectable; full risk engine not replayed
fallback_quote_provenance,risk_liquidity_executable_truth,fail_closed_or_explainable_outcome,PARTIALLY_PROVEN,risk_liquidity_executable_truth,fail_closed_or_bounded_by_existing_tests,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,end_to_end_actual_pipeline_map.md,e73aaa995fa90422c5ec52318e106570fc62f5d150677f6f945e0b999d439799,e73aaa995fa90422c5ec52318e106570fc62f5d150677f6f945e0b999d439799,True,PARTIALLY_PROVEN,fallback reasons traced across executable truth/scoring/ranking statically
candidate_pool_overflow_limit,candidate_pool,fail_closed_or_explainable_outcome,NOT_PROVEN,core/candidate_pool.py;core/candidate_pool_orchestrator.py,NOT_PROVEN,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,end_to_end_actual_pipeline_map.md,55e6ef5bf91e825aeccbc29d7966a40d4609d5d4a1edf701c7dd78644c6eb039,55e6ef5bf91e825aeccbc29d7966a40d4609d5d4a1edf701c7dd78644c6eb039,True,NOT_PROVEN,no bounded pool-size fixture found
empty_ranked_snapshot,scoring_ranking,fail_closed_or_explainable_outcome,PARTIALLY_PROVEN,core/opportunity_scoring.py;core/candidate_ranking.py;core/ranking_orchestrator.py,fail_closed_or_bounded_by_existing_tests,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,ranking_snapshot_audit.md,bbb9a1e3d3b88fb7ffc876cade4c3414dcfdb20f1e7bb8ec2cb7237e42847362,bbb9a1e3d3b88fb7ffc876cade4c3414dcfdb20f1e7bb8ec2cb7237e42847362,True,PARTIALLY_PROVEN,targeted tests cover ranked evidence wiring
ui_fallback_path,ui_manual_approval,fail_closed_or_explainable_outcome,PROVEN_DEFECT,dashboard/streamlit_app_runtime.py;core/approval_store.py;core/review_queue.py,fail_closed_or_bounded_by_existing_tests,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,fallback-visible source proven; action binding not fully certified,ui_approval_integrity_audit.md,4605df3ba9a658a7c103cbff825bbbbcad69314bc8f55fdd39ec441b4e3140aa,4605df3ba9a658a7c103cbff825bbbbcad69314bc8f55fdd39ec441b4e3140aa,True,PROVEN_DEFECT,dashboard tests prove advisory fallback visible source exists
stale_approval_attempt,ui_manual_approval,fail_closed_or_explainable_outcome,PARTIALLY_PROVEN,dashboard/streamlit_app_runtime.py;core/approval_store.py;core/review_queue.py,fail_closed_or_bounded_by_existing_tests,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,ui_approval_integrity_audit.md,2fb214e0c47375d0179ffb3506769a8bdcfafb5a2c1c63a1e005f95e8722d77f,2fb214e0c47375d0179ffb3506769a8bdcfafb5a2c1c63a1e005f95e8722d77f,True,PARTIALLY_PROVEN,approval store/chokepoints exist; stale UI binding not fully replayed
duplicate_approval_click,ui_manual_approval,fail_closed_or_explainable_outcome,PARTIALLY_PROVEN,dashboard/streamlit_app_runtime.py;core/approval_store.py;core/review_queue.py,fail_closed_or_bounded_by_existing_tests,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,ui_approval_integrity_audit.md,031b3abf74aa4ffded758255850ab57330e0284b03d1d9db3b4c3f8ba4f85acb,031b3abf74aa4ffded758255850ab57330e0284b03d1d9db3b4c3f8ba4f85acb,True,PARTIALLY_PROVEN,approval consumption chokepoint exists; duplicate UI click not replayed
order_intent_mapping_mismatch,order_intent_broker_boundary,fail_closed_or_explainable_outcome,PARTIALLY_PROVEN,core/orders/order_intent.py;core/execution/chokepoint.py;core/execution_engine/router.py,fail_closed_or_bounded_by_existing_tests,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,order_intent_broker_boundary_audit.md,7e9aa241b5d48435724e31785507884bbaa8765cf0576d2ef2a2113818646869,7e9aa241b5d48435724e31785507884bbaa8765cf0576d2ef2a2113818646869,True,PARTIALLY_PROVEN,order intent schema inspected; broker mapping not submitted
broker_timeout_before_ack,order_intent_broker_boundary,fail_closed_or_explainable_outcome,NOT_PROVEN,core/orders/order_intent.py;core/execution/chokepoint.py;core/execution_engine/router.py,NOT_PROVEN,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,order_intent_broker_boundary_audit.md,d0d8ce228524e9f0556d6de6d357a0fd8918aa1cc4a8d824a8381b7e159bec6c,d0d8ce228524e9f0556d6de6d357a0fd8918aa1cc4a8d824a8381b7e159bec6c,True,NOT_PROVEN,no broker call made; mock timeout fixture still needed
broker_rejection,order_updates_reconciliation,fail_closed_or_explainable_outcome,NOT_PROVEN,core/broker_truth_reconciler.py;core/reconciliation.py,NOT_PROVEN,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,reconciliation NOT_PROVEN beyond static reachability,order_reconciliation_audit.md,8ecf64971a99beb9303b10b0d0fda2b293609b77504d78c3754f9aaf135c7f57,8ecf64971a99beb9303b10b0d0fda2b293609b77504d78c3754f9aaf135c7f57,True,NOT_PROVEN,requires broker update fixture
partial_fill,order_updates_reconciliation,fail_closed_or_explainable_outcome,NOT_PROVEN,core/broker_truth_reconciler.py;core/reconciliation.py,NOT_PROVEN,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,reconciliation NOT_PROVEN beyond static reachability,order_reconciliation_audit.md,7838af7c6687fcd05b675f6d1b4652361d6970daefcf26fb35e97e85635a9aa2,7838af7c6687fcd05b675f6d1b4652361d6970daefcf26fb35e97e85635a9aa2,True,NOT_PROVEN,requires reconciliation fixture
out_of_order_order_updates,order_updates_reconciliation,fail_closed_or_explainable_outcome,NOT_PROVEN,core/broker_truth_reconciler.py;core/reconciliation.py,NOT_PROVEN,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,reconciliation NOT_PROVEN beyond static reachability,order_reconciliation_audit.md,d808e0de5367c7a4f67658d424726e3fd72ae7caa733687e38975e39798e71eb,d808e0de5367c7a4f67658d424726e3fd72ae7caa733687e38975e39798e71eb,True,NOT_PROVEN,requires reconciliation fixture
restart_reconciliation,order_updates_reconciliation,fail_closed_or_explainable_outcome,NOT_PROVEN,core/broker_truth_reconciler.py;core/reconciliation.py,NOT_PROVEN,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,reconciliation NOT_PROVEN beyond static reachability,order_reconciliation_audit.md,0f846ae9a32db75c89d8e1549bbded72af5d0ebc3ce13f78df5b1cea134a8ead,0f846ae9a32db75c89d8e1549bbded72af5d0ebc3ce13f78df5b1cea134a8ead,True,NOT_PROVEN,requires restart fixture
missing_credentials_non_live_mode,order_intent_broker_boundary,fail_closed_or_explainable_outcome,PARTIALLY_PROVEN,core/orders/order_intent.py;core/execution/chokepoint.py;core/execution_engine/router.py,fail_closed_or_bounded_by_existing_tests,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,order_intent_broker_boundary_audit.md,3a9a7b738882490ce4c4c9695ed664e66163c633a1d45c380b690cffe2662332,3a9a7b738882490ce4c4c9695ed664e66163c633a1d45c380b690cffe2662332,True,PARTIALLY_PROVEN,offline audit did not require credentials; no broker calls made
module_returns_none_malformed_raises,orchestration,fail_closed_or_explainable_outcome,PARTIALLY_PROVEN,orchestration,fail_closed_or_bounded_by_existing_tests,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,end_to_end_actual_pipeline_map.md,fc307ea1fdb266e807aac15f8cf79e8387694f84bcab286c32626b65ca94e479,fc307ea1fdb266e807aac15f8cf79e8387694f84bcab286c32626b65ca94e479,True,PARTIALLY_PROVEN,candidate pool generator exception handling tested by static/probe evidence
