module_id,path,extension,size_bytes,line_count,complexity_indicators,primary_responsibility,public_symbols,callers,dependencies,input_contracts,output_contracts,state_owned_or_mutated,side_effects,runtime_criticality,row_surface,test_coverage,test_quality,duplication_or_overlap,status
.github:workflows:codeql.yml,.github/workflows/codeql.yml,.yml,4831,102,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",strategy_generation,,,,input_contract_not_explicit_in_static_scan,output_contract_not_explicit_in_static_scan,module_assignments:0,none_detected_by_static_scan,low,no,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
.github:workflows:feed-resource-soak.yml,.github/workflows/feed-resource-soak.yml,.yml,4367,155,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",feed_ingestion_or_freshness,,,,input_contract_not_explicit_in_static_scan,output_contract_not_explicit_in_static_scan,module_assignments:0,none_detected_by_static_scan,high,yes,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
.github:workflows:feed-smoke.yml,.github/workflows/feed-smoke.yml,.yml,1831,69,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",feed_ingestion_or_freshness,,,,input_contract_not_explicit_in_static_scan,output_contract_not_explicit_in_static_scan,module_assignments:0,broker_or_market_adapter,high,yes,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
.github:workflows:market_story_engine_v1.yml,.github/workflows/market_story_engine_v1.yml,.yml,2219,63,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",observability,,,,input_contract_not_explicit_in_static_scan,output_contract_not_explicit_in_static_scan,module_assignments:0,filesystem_io,low,no,covered_by:1,"semantic_signals:duplicate,determin",same_stem:docs/agent_reviews/market_story_engine_v1.md|many_same_stage_modules,unknown
.github:workflows:portfolio-ci.yml,.github/workflows/portfolio-ci.yml,.yml,3454,86,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",feed_ingestion_or_freshness,,,,contract;validate,contract;validate,module_assignments:0,none_detected_by_static_scan,high,yes,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
.github:workflows:repo-forensics-pr-gate.yml,.github/workflows/repo-forensics-pr-gate.yml,.yml,930,40,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",broker_execution_handoff,,,,input_contract_not_explicit_in_static_scan,output_contract_not_explicit_in_static_scan,module_assignments:0,none_detected_by_static_scan,low,no,covered_by:1,"semantic_signals:stale,fallback,determin,rank",many_same_stage_modules,unknown
.github:workflows:tests.yml,.github/workflows/tests.yml,.yml,2916,111,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",feed_ingestion_or_freshness,,,,input_contract_not_explicit_in_static_scan,output_contract_not_explicit_in_static_scan,module_assignments:0,none_detected_by_static_scan,high,yes,covered_by:1137,"semantic_signals:stale,fallback,duplicate,malformed,determin,rank",many_same_stage_modules,unknown
.github:workflows:tradebot-mcp.yml,.github/workflows/tradebot-mcp.yml,.yml,2715,77,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",observability,,,,validate,validate,module_assignments:0,none_detected_by_static_scan,low,no,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
.github:workflows:upstox_v3_depth_capture_contract.yml,.github/workflows/upstox_v3_depth_capture_contract.yml,.yml,5841,152,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",observability,,,,contract,contract,module_assignments:0,broker_or_market_adapter,low,yes,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
.github:workflows:verify-registry.yml,.github/workflows/verify-registry.yml,.yml,506,28,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",strategy_generation,,,,input_contract_not_explicit_in_static_scan,output_contract_not_explicit_in_static_scan,module_assignments:0,none_detected_by_static_scan,low,no,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
.gsd-forensics.yaml,.gsd-forensics.yaml,.yaml,13824,548,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",option_chain_or_quote,,,,contract;validate,contract;validate,module_assignments:0,broker_or_market_adapter;ui_render,high,yes,covered_by:9,"semantic_signals:stale,fallback,determin,rank",many_same_stage_modules,unknown
.pre-commit-config.yaml,.pre-commit-config.yaml,.yaml,248,9,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",support_or_unknown,,,,input_contract_not_explicit_in_static_scan,output_contract_not_explicit_in_static_scan,module_assignments:0,none_detected_by_static_scan,low,no,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
AGENTS.md,AGENTS.md,.md,4889,242,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",feed_ingestion_or_freshness,,,,contract;dataclass,contract;dataclass,module_assignments:0,none_detected_by_static_scan,high,yes,covered_by:1,shape_or_smoke_only_static_signal,many_same_stage_modules,unknown
README.md,README.md,.md,11623,477,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",option_chain_or_quote,,,,contract;validate,contract;validate,module_assignments:0,broker_or_market_adapter;ui_render,high,yes,covered_by:2,semantic_signals:determin,same_stem:core/analytics/README.md;core/feed/README.md;docs/agentic_qa/README.md;docs/test-reports/README.md;research/local_evidence_consolidation_v1/README.md;research/local_evidence_consolidation_v1/external_local_dirs/tradebot-ml-evidence/constituent-lead-lag-data-v1/invalid_276f_data_pipeline/README.md;research/local_evidence_consolidation_v1/external_local_dirs/tradebot-ml-evidence/constituent-lead-lag-data-v1/invalid_64294990_certification_contract/README.md;research/local_evidence_consolidation_v1/external_local_dirs/tradebot-ml-evidence/constituent-lead-lag-data-v1/invalid_8ff_proxy_contract/README.md|many_same_stage_modules,unknown
RUNBOOK_DR.md,RUNBOOK_DR.md,.md,904,39,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",persistence,,,,input_contract_not_explicit_in_static_scan,output_contract_not_explicit_in_static_scan,module_assignments:0,none_detected_by_static_scan,low,no,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
RUNBOOK_GO_LIVE.md,RUNBOOK_GO_LIVE.md,.md,1484,66,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",feed_ingestion_or_freshness,,,,input_contract_not_explicit_in_static_scan,output_contract_not_explicit_in_static_scan,module_assignments:0,broker_or_market_adapter,high,yes,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
RUNBOOK_INCIDENTS.md,RUNBOOK_INCIDENTS.md,.md,598,31,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",feed_ingestion_or_freshness,,,,input_contract_not_explicit_in_static_scan,output_contract_not_explicit_in_static_scan,module_assignments:0,none_detected_by_static_scan,high,yes,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
RUNBOOK_LIVE.md,RUNBOOK_LIVE.md,.md,2394,113,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",feed_ingestion_or_freshness,,,,validate,validate,module_assignments:0,broker_or_market_adapter,high,yes,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
RUNBOOK_PHASE12_14.md,RUNBOOK_PHASE12_14.md,.md,1143,65,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",risk_governance,,,,input_contract_not_explicit_in_static_scan,output_contract_not_explicit_in_static_scan,module_assignments:0,none_detected_by_static_scan,low,no,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
RUNBOOK_STABILIZATION.md,RUNBOOK_STABILIZATION.md,.md,1026,24,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",option_chain_or_quote,,,,contract,contract,module_assignments:0,none_detected_by_static_scan,high,yes,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
RUNTIME.md,RUNTIME.md,.md,528,46,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",support_or_unknown,,,,input_contract_not_explicit_in_static_scan,output_contract_not_explicit_in_static_scan,module_assignments:0,none_detected_by_static_scan,low,no,covered_by:49,"semantic_signals:stale,fallback,duplicate,rank",many_same_stage_modules,unknown
TESTS.md,TESTS.md,.md,1275,51,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",feed_ingestion_or_freshness,,,,input_contract_not_explicit_in_static_scan,output_contract_not_explicit_in_static_scan,module_assignments:0,none_detected_by_static_scan,high,yes,covered_by:11,"semantic_signals:stale,fallback,duplicate,malformed,determin",many_same_stage_modules,unknown
branch_and_commit.sh,branch_and_commit.sh,.sh,2505,35,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",observability,,,,contract,contract,module_assignments:0,broker_or_market_adapter,low,yes,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
build_package,build_package.py,.py,9276,265,"{""classes"": 0, ""functions"": 0, ""imports"": 2, ""parse_error"": false}",option_chain_or_quote,,,os;pathlib,to_dict;validate,to_dict;validate,module_assignments:13,broker_or_market_adapter;filesystem_io;filesystem_write,high,no,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
build_reports,build_reports.py,.py,2708,63,"{""classes"": 0, ""functions"": 0, ""imports"": 4, ""parse_error"": false}",option_chain_or_quote,,,json;os;pandas;pathlib,contract,contract,module_assignments:2,filesystem_io;filesystem_write,high,no,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
ce_report.md,ce_report.md,.md,99404,1123,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",feed_ingestion_or_freshness,,,,contract,contract,module_assignments:0,broker_or_market_adapter;subprocess;ui_render,high,yes,covered_by:13,"semantic_signals:stale,fallback,determin,lineage,rank",many_same_stage_modules,unknown
ce_report2.md,ce_report2.md,.md,12596,237,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",option_chain_or_quote,,,,contract,contract,module_assignments:0,broker_or_market_adapter;ui_render,high,yes,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
ce_report3.md,ce_report3.md,.md,12497,233,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",option_chain_or_quote,,,,contract,contract,module_assignments:0,broker_or_market_adapter;ui_render,high,yes,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
ce_report4.md,ce_report4.md,.md,3059,80,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",option_chain_or_quote,,,,contract,contract,module_assignments:0,none_detected_by_static_scan,high,yes,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
ce_report5.md,ce_report5.md,.md,1770,59,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",option_chain_or_quote,,,,input_contract_not_explicit_in_static_scan,output_contract_not_explicit_in_static_scan,module_assignments:0,none_detected_by_static_scan,high,no,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
check_chain,check_chain.py,.py,479,14,"{""classes"": 0, ""functions"": 0, ""imports"": 4, ""parse_error"": false}",option_chain_or_quote,,,config;core.market_data;json;logging,input_contract_not_explicit_in_static_scan,output_contract_not_explicit_in_static_scan,module_assignments:2,none_detected_by_static_scan,high,no,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
check_tokens,check_tokens.py,.py,505,16,"{""classes"": 0, ""functions"": 0, ""imports"": 4, ""parse_error"": false}",support_or_unknown,,,core.kite_client;json;os;sys,input_contract_not_explicit_in_static_scan,output_contract_not_explicit_in_static_scan,module_assignments:2,broker_or_market_adapter,low,no,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
code-excellence-gate-reports:unified_agent_elite_latest.md,code-excellence-gate-reports/unified_agent_elite_latest.md,.md,587,33,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",observability,,,,input_contract_not_explicit_in_static_scan,output_contract_not_explicit_in_static_scan,module_assignments:0,none_detected_by_static_scan,low,no,covered_by:1,shape_or_smoke_only_static_signal,many_same_stage_modules,unknown
code-excellence-gate-reports:unified_ce_gate_latest.md,code-excellence-gate-reports/unified_ce_gate_latest.md,.md,2178,65,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",strategy_generation,,,,input_contract_not_explicit_in_static_scan,output_contract_not_explicit_in_static_scan,module_assignments:0,none_detected_by_static_scan,low,yes,covered_by:1,shape_or_smoke_only_static_signal,same_stem:docs/code_excellence/reports/unified_ce_gate_latest.md;research/option_e2e_recertification_v4/ci_forensics_v4_1/unified_ce_gate_latest.md;unified_ce_gate_latest.md|many_same_stage_modules,unknown
config.config,config/config.py,.py,199150,3610,"{""classes"": 0, ""functions"": 15, ""imports"": 8, ""parse_error"": false}",option_chain_or_quote,get_family_risk_profile;get_family_survival_policy;get_regime_policy;get_risk_policy;get_session_policy;get_trade_density_policy;pro_strategy_flags_active;pro_strategy_flags_snapshot;v2_flags_active;v2_flags_snapshot,check_chain.py;config/profile.py;core/_ci_last5_contracts_base.py;core/_engine_phase2_adapter_base.py;core/ablation.py;core/acceptance_gate.py;core/adaptive_thresholds.py;core/advisory_schema.py;core/alpha_ensemble.py;core/analytics/confidence_calibration.py;core/analytics/daily_report.py;core/analytics/execution_feasibility.py;core/analytics/feed_quality_correlation.py;core/analytics/gate_scorecard.py;core/analytics/human_override_audit.py;core/analytics/missed_opportunity.py;core/analytics/outcome_replay.py;core/analytics/regime_analysis.py;core/analytics/shadow_portfolio.py;core/analytics/store.py;core/analytics/strategy_drift.py;core/analytics/target_sl_calibration.py;core/analytics/time_of_day.py;core/approval_store.py;core/audit_log.py;core/auth.py;core/auth_health.py;core/auth_manager.py;core/auto_retrain.py;core/auto_tune.py;core/backtest_elite.py;core/backtest_engine.py;core/backtest_report.py;core/blocked_tracker.py;core/broker_truth_reconciler.py;core/candidate_finalization.py;core/candidate_generator.py;core/candidate_journal.py;core/candidate_outcome_tracker.py;core/candidate_quote_freshness.py;core/candidate_scoring.py;core/candidate_soft_reject.py;core/candidate_to_signal_adapter.py;core/ci_compat_contracts.py;core/ci_final_contracts.py;core/ci_finish_contracts.py;core/ci_last_contracts.py;core/ci_surgical_contracts.py;core/ci_tail_contracts.py;core/circuit_breaker.py;core/config_approval.py;core/contextual_thresholds.py;core/cost_gate.py;core/cost_sensitivity.py;core/cross_asset.py;core/cross_asset_features.py;core/db_guard.py;core/decision_breakers.py;core/decision_builder.py;core/decision_dag.py;core/decision_engine.py;core/decision_logger.py;core/decision_side_effects.py;core/decision_telemetry.py;core/decision_telemetry_health.py;core/decision_trace.py;core/depth_store.py;core/depth_subscription_engine.py;core/desk_config.py;core/engine_phase2_adapter.py;core/entry_semantics.py;core/executable_truth.py;core/execution/chokepoint.py;core/execution/execution_guard.py;core/execution_analytics.py;core/execution_core_fast.py;core/execution_engine.py;core/execution_entry_trace.py;core/execution_first_scoring.py;core/execution_guard.py,core.paths;core.runtime_paths;csv;dotenv;json;logging;os;pathlib,contract;schema_version;validate,contract;schema_version;validate,module_assignments:1901,broker_or_market_adapter;filesystem_io,high,yes,covered_by:349,"semantic_signals:stale,fallback,duplicate,malformed,determin,rank",same_stem:core/intelligence/config.py;tools/code_excellence/config.py|many_same_stage_modules,active_or_runtime_relevant
config.profile,config/profile.py,.py,8603,202,"{""classes"": 2, ""functions"": 6, ""imports"": 5, ""parse_error"": false}",option_chain_or_quote,OptionFilterProfile;RuntimeProfile;get_option_filter_profile;get_runtime_profile;resolve_trading_mode;to_dict,check_chain.py;core/_ci_last5_contracts_base.py;core/_engine_phase2_adapter_base.py;core/ablation.py;core/acceptance_gate.py;core/adaptive_thresholds.py;core/advisory_schema.py;core/alpha_ensemble.py;core/analytics/confidence_calibration.py;core/analytics/daily_report.py;core/analytics/execution_feasibility.py;core/analytics/feed_quality_correlation.py;core/analytics/gate_scorecard.py;core/analytics/human_override_audit.py;core/analytics/missed_opportunity.py;core/analytics/outcome_replay.py;core/analytics/regime_analysis.py;core/analytics/shadow_portfolio.py;core/analytics/store.py;core/analytics/strategy_drift.py;core/analytics/target_sl_calibration.py;core/analytics/time_of_day.py;core/approval_store.py;core/audit_log.py;core/auth.py;core/auth_health.py;core/auth_manager.py;core/auto_retrain.py;core/auto_tune.py;core/backtest_elite.py;core/backtest_engine.py;core/backtest_report.py;core/blocked_tracker.py;core/broker_truth_reconciler.py;core/candidate_finalization.py;core/candidate_generator.py;core/candidate_journal.py;core/candidate_outcome_tracker.py;core/candidate_quote_freshness.py;core/candidate_scoring.py;core/candidate_soft_reject.py;core/candidate_to_signal_adapter.py;core/ci_compat_contracts.py;core/ci_final_contracts.py;core/ci_finish_contracts.py;core/ci_last_contracts.py;core/ci_surgical_contracts.py;core/ci_tail_contracts.py;core/circuit_breaker.py;core/config_approval.py;core/contextual_thresholds.py;core/cost_gate.py;core/cost_sensitivity.py;core/cross_asset.py;core/cross_asset_features.py;core/db_guard.py;core/decision_breakers.py;core/decision_builder.py;core/decision_dag.py;core/decision_engine.py;core/decision_logger.py;core/decision_side_effects.py;core/decision_telemetry.py;core/decision_telemetry_health.py;core/decision_trace.py;core/depth_store.py;core/depth_subscription_engine.py;core/desk_config.py;core/engine_phase2_adapter.py;core/entry_semantics.py;core/executable_truth.py;core/execution/chokepoint.py;core/execution/execution_guard.py;core/execution_analytics.py;core/execution_core_fast.py;core/execution_engine.py;core/execution_entry_trace.py;core/execution_first_scoring.py;core/execution_guard.py;core/execution_performance.py,__future__;config;dataclasses;os;typing,dataclass;to_dict,dataclass;to_dict,module_assignments:33,none_detected_by_static_scan,high,yes,covered_by:53,"semantic_signals:stale,fallback,duplicate,determin,rank",many_same_stage_modules,active_or_runtime_relevant
config:strategy_inventory.yml,config/strategy_inventory.yml,.yml,6788,160,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",broker_execution_handoff,,,,schema_version,schema_version,module_assignments:0,none_detected_by_static_scan,high,yes,covered_by:3,"semantic_signals:duplicate,determin,rank",many_same_stage_modules,active_or_runtime_relevant
core,core/__init__.py,.py,0,0,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",support_or_unknown,,check_chain.py;check_tokens.py;config/config.py;core/_engine_phase2_adapter_base.py;core/acceptance_gate.py;core/advisory_row_integrity.py;core/advisory_schema.py;core/agent_approval.py;core/agent_evidence.py;core/agent_orchestrator.py;core/agent_scope_guard.py;core/agent_supervisor.py;core/agent_supervisor_claims.py;core/agent_supervisor_contract.py;core/agent_supervisor_evidence.py;core/agent_supervisor_git.py;core/agents/command_center.py;core/agents/edge_measurement_agent.py;core/agents/readers.py;core/agents/trade_quality_truth_audit.py;core/ai_certification/exporter.py;core/analytics/confidence_calibration.py;core/analytics/daily_report.py;core/analytics/execution_feasibility.py;core/analytics/feed_context.py;core/analytics/feed_quality_correlation.py;core/analytics/gate_scorecard.py;core/analytics/human_override_audit.py;core/analytics/missed_opportunity.py;core/analytics/outcome_replay.py;core/analytics/regime_analysis.py;core/analytics/schema.py;core/analytics/shadow_portfolio.py;core/analytics/store.py;core/analytics/strategy_drift.py;core/analytics/target_sl_calibration.py;core/analytics/time_of_day.py;core/analytics/walk_forward_pipeline.py;core/approval_store.py;core/audit_log.py;core/auth.py;core/auth_health.py;core/auth_manager.py;core/auto_retrain.py;core/auto_tune.py;core/backtest_elite.py;core/backtest_engine.py;core/backtesting/data_catalog.py;core/backtesting/wfa.py;core/blocked_tracker.py;core/blocker_registry.py;core/breakers/__init__.py;core/breakout_candidate_generator.py;core/broker/mock_broker.py;core/broker_reconciliation_dry_run_proof.py;core/broker_truth_reconciler.py;core/candidate_adapters/htf_adapter.py;core/candidate_classifier.py;core/candidate_executability_evidence.py;core/candidate_flow_summary.py;core/candidate_hard_downgrade.py;core/candidate_intent_pool.py;core/candidate_journal.py;core/candidate_lineage_ledger.py;core/candidate_normalizer.py;core/candidate_outcome_fixture_loader.py;core/candidate_outcome_report_writer.py;core/candidate_outcome_tracker.py;core/candidate_pool.py;core/candidate_pool_orchestrator.py;core/candidate_pool_quality.py;core/candidate_quote_freshness.py;core/candidate_ranking.py;core/candidate_readiness_summary.py;core/candidate_scoring.py;core/candidate_to_signal_adapter.py;core/canonical_ranked_ui_adapter.py;core/ci_last5_contracts.py;core/config_approval.py;core/contracts/advisory_schema.py,,input_contract_not_explicit_in_static_scan,output_contract_not_explicit_in_static_scan,module_assignments:0,none_detected_by_static_scan,low,no,covered_by:66,"semantic_signals:stale,fallback,malformed,determin,lineage,rank",same_stem:core/agentic_qa/__init__.py;core/agents/__init__.py;core/ai_certification/__init__.py;core/ai_certification/mcp/__init__.py;core/analytics/__init__.py;core/backtesting/__init__.py;core/breakers/__init__.py;core/broker/__init__.py|many_same_stage_modules,active_or_runtime_relevant
