lifecycle_stage,module,callable_class,runtime_reachability,responsibility,input_contract,output_contract,identities_read_written,fields_read,fields_added_changed_removed,authority_effect,current_fallback_mode,fail_open_fail_closed,exception_behaviour,concurrency_state_risk,observability,current_test_evidence,verified_defect_or_gap,evidence_reference,severity,confidence,recommended_fix,justification,expected_benefit,behavioural_change_if_fixed,possible_adverse_effect,compatibility_risk,migration_requirement,rollback_approach,tests_required_before_change,acceptance_criteria,suggested_owner_workstream,implementation_order,dependencies_blockers
orchestration,core/agent_orchestrator.py,AgentOrchestrationState,REACHABLE_OR_CONDITIONALLY_REACHABLE,orchestration,dataclass;schema_version;to_dict;validate;contract,dataclass;schema_version;to_dict;validate;contract,identity_not_explicit_in_static_scan,detected,detected,approval_authority,none_detected,fail_closed_or_rejecting_paths_detected,no_local_exception_handling_detected,lock,reason,SEMANTIC_UNIT_TEST,No specific defect proven by v2; retain coverage in lifecycle regression suite.,research/module_robustness_ranking_audit_v1/runtime_module_inventory.csv,P3,low,Keep in inventory; no immediate runtime fix from v2 evidence.,"Required to prove one live market event can traverse the lifecycle without silent loss, mutation, authority bypass, or stale-data contamination.",Traceable lifecycle evidence and safer staged repair PRs.,none expected,Stricter gates can reduce apparent opportunity count or change UI/actionability.,low,none,keep new evidence fields read-only; disable actionability changes behind config until certified,happy/malformed/stale/exception/determinism tests,"orchestration emits trace events with stable identity, authority before/after, reason codes, and deterministic semantic hash across two runs.",orchestration,11,none
orchestration,core/agent_orchestrator.py,AgentReviewRecord,REACHABLE_OR_CONDITIONALLY_REACHABLE,orchestration,dataclass;schema_version;to_dict;validate;contract,dataclass;schema_version;to_dict;validate;contract,identity_not_explicit_in_static_scan,detected,detected,approval_authority,none_detected,fail_closed_or_rejecting_paths_detected,no_local_exception_handling_detected,lock,reason,SEMANTIC_UNIT_TEST,No specific defect proven by v2; retain coverage in lifecycle regression suite.,research/module_robustness_ranking_audit_v1/runtime_module_inventory.csv,P3,low,Keep in inventory; no immediate runtime fix from v2 evidence.,"Required to prove one live market event can traverse the lifecycle without silent loss, mutation, authority bypass, or stale-data contamination.",Traceable lifecycle evidence and safer staged repair PRs.,none expected,Stricter gates can reduce apparent opportunity count or change UI/actionability.,low,none,keep new evidence fields read-only; disable actionability changes behind config until certified,happy/malformed/stale/exception/determinism tests,"orchestration emits trace events with stable identity, authority before/after, reason codes, and deterministic semantic hash across two runs.",orchestration,12,none
orchestration,core/agent_orchestrator.py,AgentOrchestrationDecision,REACHABLE_OR_CONDITIONALLY_REACHABLE,orchestration,dataclass;schema_version;to_dict;validate;contract,dataclass;schema_version;to_dict;validate;contract,identity_not_explicit_in_static_scan,detected,detected,approval_authority,none_detected,fail_closed_or_rejecting_paths_detected,no_local_exception_handling_detected,lock,reason,SEMANTIC_UNIT_TEST,No specific defect proven by v2; retain coverage in lifecycle regression suite.,research/module_robustness_ranking_audit_v1/runtime_module_inventory.csv,P3,low,Keep in inventory; no immediate runtime fix from v2 evidence.,"Required to prove one live market event can traverse the lifecycle without silent loss, mutation, authority bypass, or stale-data contamination.",Traceable lifecycle evidence and safer staged repair PRs.,none expected,Stricter gates can reduce apparent opportunity count or change UI/actionability.,low,none,keep new evidence fields read-only; disable actionability changes behind config until certified,happy/malformed/stale/exception/determinism tests,"orchestration emits trace events with stable identity, authority before/after, reason codes, and deterministic semantic hash across two runs.",orchestration,13,none
normalization_classification_policy,core/agent_orchestrator.py,normalize_agent_review_record,REACHABLE_OR_CONDITIONALLY_REACHABLE,normalization_classification_policy,dataclass;schema_version;to_dict;validate;contract,dataclass;schema_version;to_dict;validate;contract,identity_not_explicit_in_static_scan,detected,detected,approval_authority,none_detected,fail_closed_or_rejecting_paths_detected,no_local_exception_handling_detected,lock,reason,SEMANTIC_UNIT_TEST,No specific defect proven by v2; retain coverage in lifecycle regression suite.,research/module_robustness_ranking_audit_v1/runtime_module_inventory.csv,P3,low,Keep in inventory; no immediate runtime fix from v2 evidence.,"Required to prove one live market event can traverse the lifecycle without silent loss, mutation, authority bypass, or stale-data contamination.",Traceable lifecycle evidence and safer staged repair PRs.,none expected,Stricter gates can reduce apparent opportunity count or change UI/actionability.,low,none,keep new evidence fields read-only; disable actionability changes behind config until certified,happy/malformed/stale/exception/determinism tests,"normalization_classification_policy emits trace events with stable identity, authority before/after, reason codes, and deterministic semantic hash across two runs.",normalization_classification_policy,14,none
orchestration,core/agent_orchestrator.py,evaluate_agent_review_orchestration,REACHABLE_OR_CONDITIONALLY_REACHABLE,orchestration,dataclass;schema_version;to_dict;validate;contract,dataclass;schema_version;to_dict;validate;contract,identity_not_explicit_in_static_scan,detected,detected,approval_authority,none_detected,fail_closed_or_rejecting_paths_detected,no_local_exception_handling_detected,lock,reason,SEMANTIC_UNIT_TEST,No specific defect proven by v2; retain coverage in lifecycle regression suite.,research/module_robustness_ranking_audit_v1/runtime_module_inventory.csv,P3,low,Keep in inventory; no immediate runtime fix from v2 evidence.,"Required to prove one live market event can traverse the lifecycle without silent loss, mutation, authority bypass, or stale-data contamination.",Traceable lifecycle evidence and safer staged repair PRs.,none expected,Stricter gates can reduce apparent opportunity count or change UI/actionability.,low,none,keep new evidence fields read-only; disable actionability changes behind config until certified,happy/malformed/stale/exception/determinism tests,"orchestration emits trace events with stable identity, authority before/after, reason codes, and deterministic semantic hash across two runs.",orchestration,15,none
observability_recovery_auditability,core/agents/candidate_supply_agent.py,analyze_candidate_supply,REACHABLE_OR_CONDITIONALLY_REACHABLE,observability_recovery_auditability,contract,contract,symbol,detected,detected,executable_or_risk_authority,fallback;stale,fail_closed_or_rejecting_paths_detected,exceptions_caught_without_clear_observability_static_signal,lock,reason;trace;metric,SEMANTIC_UNIT_TEST,No specific defect proven by v2; retain coverage in lifecycle regression suite.,research/module_robustness_ranking_audit_v1/runtime_module_inventory.csv,P3,low,Keep in inventory; no immediate runtime fix from v2 evidence.,"Required to prove one live market event can traverse the lifecycle without silent loss, mutation, authority bypass, or stale-data contamination.",Traceable lifecycle evidence and safer staged repair PRs.,none expected,Stricter gates can reduce apparent opportunity count or change UI/actionability.,low,none,keep new evidence fields read-only; disable actionability changes behind config until certified,happy/malformed/stale/exception/determinism tests,"observability_recovery_auditability emits trace events with stable identity, authority before/after, reason codes, and deterministic semantic hash across two runs.",observability_recovery_auditability,16,none
observability_recovery_auditability,core/agents/feed_stability_agent.py,analyze_feed_stability,REACHABLE_OR_CONDITIONALLY_REACHABLE,observability_recovery_auditability,contract,contract,token;symbol,detected,detected,evidence_or_transform_only,degraded;stale,fail_closed_or_rejecting_paths_detected,exceptions_caught_without_clear_observability_static_signal,lock,reason;metric,SEMANTIC_UNIT_TEST,No specific defect proven by v2; retain coverage in lifecycle regression suite.,research/module_robustness_ranking_audit_v1/runtime_module_inventory.csv,P3,low,Keep in inventory; no immediate runtime fix from v2 evidence.,"Required to prove one live market event can traverse the lifecycle without silent loss, mutation, authority bypass, or stale-data contamination.",Traceable lifecycle evidence and safer staged repair PRs.,none expected,Stricter gates can reduce apparent opportunity count or change UI/actionability.,low,none,keep new evidence fields read-only; disable actionability changes behind config until certified,happy/malformed/stale/exception/determinism tests,"observability_recovery_auditability emits trace events with stable identity, authority before/after, reason codes, and deterministic semantic hash across two runs.",observability_recovery_auditability,17,none
phase2_gates,core/agents/phase2_ranking_truth_agent.py,analyze_phase2_ranking_truth,REACHABLE_OR_CONDITIONALLY_REACHABLE,phase2_gates,contract,contract,identity_not_explicit_in_static_scan,detected,detected,executable_or_risk_authority,none_detected,fail_closed_or_rejecting_paths_detected,no_local_exception_handling_detected,lock;queue,reason;trace;metric,SEMANTIC_UNIT_TEST,No specific defect proven by v2; retain coverage in lifecycle regression suite.,research/module_robustness_ranking_audit_v1/runtime_module_inventory.csv,P3,low,Keep in inventory; no immediate runtime fix from v2 evidence.,"Required to prove one live market event can traverse the lifecycle without silent loss, mutation, authority bypass, or stale-data contamination.",Traceable lifecycle evidence and safer staged repair PRs.,none expected,Stricter gates can reduce apparent opportunity count or change UI/actionability.,low,none,keep new evidence fields read-only; disable actionability changes behind config until certified,hard reject/soft downgrade/reason preservation/fallback authority tests,"phase2_gates emits trace events with stable identity, authority before/after, reason codes, and deterministic semantic hash across two runs.",phase2_gates,18,none
observability_recovery_auditability,core/analytics/feed_context.py,build_feed_context,REACHABLE_OR_CONDITIONALLY_REACHABLE,observability_recovery_auditability,input_contract_implicit_or_dict_based,output_contract_implicit_or_dict_based,token;symbol,detected,detected,evidence_or_transform_only,degraded,fail_closed_or_rejecting_paths_detected,exceptions_caught_without_clear_observability_static_signal,lock,reason;metric,SHAPE_TEST,No specific defect proven by v2; retain coverage in lifecycle regression suite.,research/module_robustness_ranking_audit_v1/runtime_module_inventory.csv,P3,low,Keep in inventory; no immediate runtime fix from v2 evidence.,"Required to prove one live market event can traverse the lifecycle without silent loss, mutation, authority bypass, or stale-data contamination.",Traceable lifecycle evidence and safer staged repair PRs.,none expected,Stricter gates can reduce apparent opportunity count or change UI/actionability.,low,none,keep new evidence fields read-only; disable actionability changes behind config until certified,happy/malformed/stale/exception/determinism tests,"observability_recovery_auditability emits trace events with stable identity, authority before/after, reason codes, and deterministic semantic hash across two runs.",observability_recovery_auditability,19,none
observability_recovery_auditability,core/analytics/feed_quality_correlation.py,build_feed_quality_correlation_report,REACHABLE_OR_CONDITIONALLY_REACHABLE,observability_recovery_auditability,to_dict,to_dict,symbol,detected,detected,ranking_authority,none_detected,fail_closed_or_rejecting_paths_detected,exceptions_caught_without_clear_observability_static_signal,low_static_signal,metric;jsonl,SEMANTIC_UNIT_TEST,No specific defect proven by v2; retain coverage in lifecycle regression suite.,research/module_robustness_ranking_audit_v1/runtime_module_inventory.csv,P3,low,Keep in inventory; no immediate runtime fix from v2 evidence.,"Required to prove one live market event can traverse the lifecycle without silent loss, mutation, authority bypass, or stale-data contamination.",Traceable lifecycle evidence and safer staged repair PRs.,none expected,Stricter gates can reduce apparent opportunity count or change UI/actionability.,low,none,keep new evidence fields read-only; disable actionability changes behind config until certified,happy/malformed/stale/exception/determinism tests,"observability_recovery_auditability emits trace events with stable identity, authority before/after, reason codes, and deterministic semantic hash across two runs.",observability_recovery_auditability,20,none
observability_recovery_auditability,core/analytics/feed_quality_correlation.py,main,REACHABLE_OR_CONDITIONALLY_REACHABLE,observability_recovery_auditability,to_dict,to_dict,symbol,detected,detected,ranking_authority,none_detected,fail_closed_or_rejecting_paths_detected,exceptions_caught_without_clear_observability_static_signal,low_static_signal,metric;jsonl,SEMANTIC_UNIT_TEST,No specific defect proven by v2; retain coverage in lifecycle regression suite.,research/module_robustness_ranking_audit_v1/runtime_module_inventory.csv,P3,low,Keep in inventory; no immediate runtime fix from v2 evidence.,"Required to prove one live market event can traverse the lifecycle without silent loss, mutation, authority bypass, or stale-data contamination.",Traceable lifecycle evidence and safer staged repair PRs.,none expected,Stricter gates can reduce apparent opportunity count or change UI/actionability.,low,none,keep new evidence fields read-only; disable actionability changes behind config until certified,happy/malformed/stale/exception/determinism tests,"observability_recovery_auditability emits trace events with stable identity, authority before/after, reason codes, and deterministic semantic hash across two runs.",observability_recovery_auditability,21,none
market_state_regime,core/analytics/regime_analysis.py,load_outcome_replay_rows,REACHABLE_OR_CONDITIONALLY_REACHABLE,market_state_regime,to_dict;validate,to_dict;validate,token;symbol,detected,detected,evidence_or_transform_only,degraded,fail_closed_or_rejecting_paths_detected,exceptions_caught_without_clear_observability_static_signal,lock,reason;metric;jsonl,SEMANTIC_UNIT_TEST,No specific defect proven by v2; retain coverage in lifecycle regression suite.,research/module_robustness_ranking_audit_v1/runtime_module_inventory.csv,P3,low,Keep in inventory; no immediate runtime fix from v2 evidence.,"Required to prove one live market event can traverse the lifecycle without silent loss, mutation, authority bypass, or stale-data contamination.",Traceable lifecycle evidence and safer staged repair PRs.,none expected,Stricter gates can reduce apparent opportunity count or change UI/actionability.,low,none,keep new evidence fields read-only; disable actionability changes behind config until certified,happy/malformed/stale/exception/determinism tests,"market_state_regime emits trace events with stable identity, authority before/after, reason codes, and deterministic semantic hash across two runs.",market_state_regime,22,none
market_state_regime,core/analytics/regime_analysis.py,build_regime_analysis,REACHABLE_OR_CONDITIONALLY_REACHABLE,market_state_regime,to_dict;validate,to_dict;validate,token;symbol,detected,detected,evidence_or_transform_only,degraded,fail_closed_or_rejecting_paths_detected,exceptions_caught_without_clear_observability_static_signal,lock,reason;metric;jsonl,SEMANTIC_UNIT_TEST,No specific defect proven by v2; retain coverage in lifecycle regression suite.,research/module_robustness_ranking_audit_v1/runtime_module_inventory.csv,P3,low,Keep in inventory; no immediate runtime fix from v2 evidence.,"Required to prove one live market event can traverse the lifecycle without silent loss, mutation, authority bypass, or stale-data contamination.",Traceable lifecycle evidence and safer staged repair PRs.,none expected,Stricter gates can reduce apparent opportunity count or change UI/actionability.,low,none,keep new evidence fields read-only; disable actionability changes behind config until certified,happy/malformed/stale/exception/determinism tests,"market_state_regime emits trace events with stable identity, authority before/after, reason codes, and deterministic semantic hash across two runs.",market_state_regime,23,none
market_state_regime,core/analytics/regime_analysis.py,main,REACHABLE_OR_CONDITIONALLY_REACHABLE,market_state_regime,to_dict;validate,to_dict;validate,token;symbol,detected,detected,evidence_or_transform_only,degraded,fail_closed_or_rejecting_paths_detected,exceptions_caught_without_clear_observability_static_signal,lock,reason;metric;jsonl,SEMANTIC_UNIT_TEST,No specific defect proven by v2; retain coverage in lifecycle regression suite.,research/module_robustness_ranking_audit_v1/runtime_module_inventory.csv,P3,low,Keep in inventory; no immediate runtime fix from v2 evidence.,"Required to prove one live market event can traverse the lifecycle without silent loss, mutation, authority bypass, or stale-data contamination.",Traceable lifecycle evidence and safer staged repair PRs.,none expected,Stricter gates can reduce apparent opportunity count or change UI/actionability.,low,none,keep new evidence fields read-only; disable actionability changes behind config until certified,happy/malformed/stale/exception/determinism tests,"market_state_regime emits trace events with stable identity, authority before/after, reason codes, and deterministic semantic hash across two runs.",market_state_regime,24,none
strategy_registry_execution,core/analytics/strategy_drift.py,build_strategy_drift_report,REACHABLE_OR_CONDITIONALLY_REACHABLE,strategy_registry_execution,to_dict,to_dict,token,detected,detected,evidence_or_transform_only,none_detected,fail_closed_or_rejecting_paths_detected,exceptions_caught_without_clear_observability_static_signal,low_static_signal,reason;metric,SHAPE_TEST,No specific defect proven by v2; retain coverage in lifecycle regression suite.,research/module_robustness_ranking_audit_v1/runtime_module_inventory.csv,P3,low,Keep in inventory; no immediate runtime fix from v2 evidence.,"Required to prove one live market event can traverse the lifecycle without silent loss, mutation, authority bypass, or stale-data contamination.",Traceable lifecycle evidence and safer staged repair PRs.,none expected,Stricter gates can reduce apparent opportunity count or change UI/actionability.,low,none,keep new evidence fields read-only; disable actionability changes behind config until certified,happy/malformed/stale/exception/determinism tests,"strategy_registry_execution emits trace events with stable identity, authority before/after, reason codes, and deterministic semantic hash across two runs.",strategy_registry_execution,25,none
strategy_registry_execution,core/analytics/strategy_drift.py,main,REACHABLE_OR_CONDITIONALLY_REACHABLE,strategy_registry_execution,to_dict,to_dict,token,detected,detected,evidence_or_transform_only,none_detected,fail_closed_or_rejecting_paths_detected,exceptions_caught_without_clear_observability_static_signal,low_static_signal,reason;metric,SEMANTIC_UNIT_TEST,No specific defect proven by v2; retain coverage in lifecycle regression suite.,research/module_robustness_ranking_audit_v1/runtime_module_inventory.csv,P3,low,Keep in inventory; no immediate runtime fix from v2 evidence.,"Required to prove one live market event can traverse the lifecycle without silent loss, mutation, authority bypass, or stale-data contamination.",Traceable lifecycle evidence and safer staged repair PRs.,none expected,Stricter gates can reduce apparent opportunity count or change UI/actionability.,low,none,keep new evidence fields read-only; disable actionability changes behind config until certified,happy/malformed/stale/exception/determinism tests,"strategy_registry_execution emits trace events with stable identity, authority before/after, reason codes, and deterministic semantic hash across two runs.",strategy_registry_execution,26,none
